subpath	export_name	member_name	member_kind	static	optional	signatures	declaration
.	GenerateResponseChunk	previousText	getter	false	false	(): string	@genkit-ai/ai/lib/generate/chunk.d.ts:60:5
.	GenerateResponseChunk	media	getter	false	false	(): { url: string; contentType?: string; } | null	@genkit-ai/ai/lib/generate/chunk.d.ts:66:5
.	GenerateResponseChunk	data	getter	false	false	(): T | null	@genkit-ai/ai/lib/generate/chunk.d.ts:74:5
.	GenerateResponseChunk	toolRequests	getter	false	false	(): ToolRequestPart[]	@genkit-ai/ai/lib/generate/chunk.d.ts:79:5
.	GenerateResponseChunk	output	getter	false	false	(): T | null	@genkit-ai/ai/lib/generate/chunk.d.ts:84:5
.	GenerateResponseChunk	toJSON	method	false	false	(): GenerateResponseChunkData	@genkit-ai/ai/lib/generate/chunk.d.ts:85:5
.	GenerateStreamResponse	stream	getter	false	false	(): AsyncIterable<GenerateResponseChunk>	@genkit-ai/ai/lib/generate-3xWOiUzB.d.ts:466:5
.	GenerateStreamResponse	response	getter	false	false	(): Promise<GenerateResponse<O>>	@genkit-ai/ai/lib/generate-3xWOiUzB.d.ts:467:5
.	GenerationResponseError	detail	property	false	false		@genkit-ai/ai/lib/generate-3xWOiUzB.d.ts:441:5
.	GenerationResponseError	Constructor	constructor	false	false	(response: GenerateResponse<any>, message: string, status?: GenkitError["status"], detail?: Record<string, any>): GenerationResponseError	@genkit-ai/ai/lib/generate-3xWOiUzB.d.ts:445:5
.	Genkit	options	property	false	false		genkit/lib/index-Cd4YWqZH.d.ts:86:5
.	Genkit	registry	property	false	false		genkit/lib/index-Cd4YWqZH.d.ts:88:5
.	Genkit	reflectionServer	property	false	false		genkit/lib/index-Cd4YWqZH.d.ts:90:5
.	Genkit	flows	property	false	false		genkit/lib/index-Cd4YWqZH.d.ts:92:5
.	Genkit	apiStability	getter	false	false	(): "stable" | "beta"	genkit/lib/index-Cd4YWqZH.d.ts:93:5
.	Genkit	Constructor	constructor	false	false	(options?: GenkitOptions): Genkit	genkit/lib/index-Cd4YWqZH.d.ts:94:5
.	Genkit	defineFlow	method	false	false	<I extends z.ZodTypeAny = z.ZodTypeAny, O extends z.ZodTypeAny = z.ZodTypeAny, S extends z.ZodTypeAny = z.ZodTypeAny>(config: FlowConfig<I, O, S> | string, fn: FlowFn<I, O, S>): Action<I, O, S>	genkit/lib/index-Cd4YWqZH.d.ts:98:5
.	Genkit	defineTool	method	false	false	<I extends z.ZodTypeAny, O extends z.ZodTypeAny>(config: ToolConfig<I, O>, fn: ToolFn<I, O>): ToolAction<I, O>	genkit/lib/index-Cd4YWqZH.d.ts:104:5
.	Genkit	dynamicTool	method	false	false	<I extends z.ZodTypeAny, O extends z.ZodTypeAny>(config: ToolConfig<I, O>, fn?: ToolFn<I, O>): ToolAction<I, O>	genkit/lib/index-Cd4YWqZH.d.ts:109:5
.	Genkit	defineDynamicActionProvider	method	false	false	(config: DapConfig | string, fn: DapFn): DynamicActionProviderAction	genkit/lib/index-Cd4YWqZH.d.ts:113:5
.	Genkit	defineSchema	method	false	false	<T extends z.ZodTypeAny>(name: string, schema: T): T	genkit/lib/index-Cd4YWqZH.d.ts:119:5
.	Genkit	defineJsonSchema	method	false	false	(name: string, jsonSchema: JSONSchema): any	genkit/lib/index-Cd4YWqZH.d.ts:125:5
.	Genkit	defineModel	method	false	false	<CustomOptionsSchema extends z.ZodTypeAny = z.ZodTypeAny>(options: { apiVersion: "v2"; } & DefineModelOptions<CustomOptionsSchema>, runner: (request: GenerateRequest<CustomOptionsSchema>, options: ActionFnArg<GenerateResponseChunkData>) => Promise<GenerateResponseData>): ModelAction<CustomOptionsSchema>	genkit/lib/index-Cd4YWqZH.d.ts:129:5
.	Genkit	defineModel	method	false	false	<CustomOptionsSchema extends z.ZodTypeAny = z.ZodTypeAny>(options: DefineModelOptions<CustomOptionsSchema>, runner: (request: GenerateRequest<CustomOptionsSchema>, streamingCallback?: StreamingCallback<GenerateResponseChunkData>) => Promise<GenerateResponseData>): ModelAction<CustomOptionsSchema>	genkit/lib/index-Cd4YWqZH.d.ts:135:5
.	Genkit	defineBackgroundModel	method	false	false	<CustomOptionsSchema extends z.ZodTypeAny = z.ZodTypeAny>(options: DefineBackgroundModelOptions<CustomOptionsSchema>): BackgroundModelAction<CustomOptionsSchema>	genkit/lib/index-Cd4YWqZH.d.ts:139:5
.	Genkit	prompt	method	false	false	<I extends z.ZodTypeAny = z.ZodTypeAny, O extends z.ZodTypeAny = z.ZodTypeAny, CustomOptions extends z.ZodTypeAny = z.ZodTypeAny>(name: string, options?: { variant?: string; }): ExecutablePrompt<z.infer<I>, O, CustomOptions>	genkit/lib/index-Cd4YWqZH.d.ts:144:5
.	Genkit	wrapExecutablePromptPromise	property	false	false		genkit/lib/index-Cd4YWqZH.d.ts:147:5
